chrom	start	end	mid	the_mds	outlier	n	mds_coord
HanXRQChr05	65420371	66134624	65777497.5	-0.11760177117042488	Outlier	1675	mds40-neg
HanXRQChr05	80803825	82265229	81534527	-0.16578991526728418	Outlier	1687	mds40-neg
HanXRQChr05	83688864	84599012	84143938	-0.1928031934211214	Outlier	1690	mds40-neg
HanXRQChr05	84599130	86171596	85385363	-0.12241870877594767	Outlier	1691	mds40-neg
HanXRQChr05	86171628	88090695	87131161.5	-0.15364528503001057	Outlier	1692	mds40-neg
HanXRQChr05	97518365	99670355	98594360	-0.22894197530152194	Outlier	1705	mds40-neg
HanXRQChr05	99670362	100230088	99950225	-0.18334826450300545	Outlier	1706	mds40-neg
HanXRQChr05	100230287	101219042	100724664.5	-0.17229346111411756	Outlier	1707	mds40-neg
HanXRQChr05	105650511	106048823	105849667	-0.12143472297395502	Outlier	1718	mds40-neg
HanXRQChr05	107401221	108462477	107931849	-0.10904812717385097	Outlier	1720	mds40-neg
HanXRQChr05	108462519	111180435	109821477	-0.13770675093536952	Outlier	1721	mds40-neg
HanXRQChr05	111180464	113137356	112158910	-0.11706220070539371	Outlier	1722	mds40-neg
HanXRQChr05	115590715	116141590	115866152.5	-0.1041019794283796	Outlier	1725	mds40-neg
HanXRQChr05	159302080	160038406	159670243	-0.2139899855386557	Outlier	1809	mds40-neg
HanXRQChr01	17728901	18481946	18105423.5	0.15482812751362393	Outlier	43	mds40-pos
HanXRQChr01	18481972	19474233	18978102.5	0.14828705852793822	Outlier	44	mds40-pos
HanXRQChr01	23555787	25919971	24737879	0.14590295724003094	Outlier	49	mds40-pos
HanXRQChr01	25920023	29094254	27507138.5	0.18164790498514313	Outlier	50	mds40-pos
HanXRQChr01	29905894	32755152	31330523	0.16600615342622443	Outlier	52	mds40-pos
HanXRQChr01	32755163	34264596	33509879.5	0.1248482548798651	Outlier	53	mds40-pos
HanXRQChr01	34264610	34741807	34503208.5	0.10609965019134343	Outlier	54	mds40-pos
HanXRQChr15	147940041	148765452	148352746.5	-0.2821231189055827	Outlier	5987	mds39-neg
HanXRQChr15	148765558	149382095	149073826.5	-0.14104854866709768	Outlier	5988	mds39-neg
HanXRQChr15	149382096	150187388	149784742	-0.23559089879450756	Outlier	5989	mds39-neg
HanXRQChr15	150187514	151687000	150937257	-0.20906884334401216	Outlier	5990	mds39-neg
HanXRQChr15	151687004	152386732	152036868	-0.2165987900687792	Outlier	5991	mds39-neg
HanXRQChr15	152391599	154619031	153505315	-0.1822243682513781	Outlier	5992	mds39-neg
HanXRQChr15	158289335	158968722	158629028.5	-0.1599980344638743	Outlier	5997	mds39-neg
HanXRQChr15	158968858	159767256	159368057	-0.21102588076958734	Outlier	5998	mds39-neg
HanXRQChr15	159767324	160455030	160111177	-0.17884689698826695	Outlier	5999	mds39-neg
HanXRQChr15	160455082	161330028	160892555	-0.12131219067368304	Outlier	6000	mds39-neg
HanXRQChr10	74130611	75867592	74999101.5	-0.1750584246149275	Outlier	3517	mds38-neg
HanXRQChr10	91504054	92472082	91988068	-0.11868836662901838	Outlier	3545	mds38-neg
HanXRQChr10	112473409	113248522	112860965.5	-0.19052053068232852	Outlier	3581	mds38-neg
HanXRQChr10	125339810	125953913	125646861.5	-0.18488875983605393	Outlier	3603	mds38-neg
HanXRQChr10	125953947	128341367	127147657	-0.1461805384194268	Outlier	3604	mds38-neg
HanXRQChr10	128341389	130493756	129417572.5	-0.20510753112245705	Outlier	3605	mds38-neg
HanXRQChr10	130494267	130903029	130698648	-0.1636022927132471	Outlier	3606	mds38-neg
HanXRQChr10	130903038	131350003	131126520.5	-0.18247602046409644	Outlier	3607	mds38-neg
HanXRQChr10	137901328	139229531	138565429.5	-0.20058730631385424	Outlier	3617	mds38-neg
HanXRQChr10	139229544	140078706	139654125	-0.11507350634313947	Outlier	3618	mds38-neg
HanXRQChr10	152401749	153246103	152823926	-0.17671330001058713	Outlier	3639	mds38-neg
HanXRQChr10	153246107	154447206	153846656.5	-0.13481483390138232	Outlier	3640	mds38-neg
HanXRQChr10	160967687	161983434	161475560.5	-0.16731339878311477	Outlier	3649	mds38-neg
HanXRQChr01	4302288	5015470	4658879	0.26433816902559615	Outlier	15	mds38-pos
HanXRQChr01	5015536	5467460	5241498	0.28874827307246215	Outlier	16	mds38-pos
HanXRQChr01	7778968	8121971	7950469.5	0.2451799172926082	Outlier	22	mds38-pos
HanXRQChr01	8677512	9213866	8945689	0.11195880552254456	Outlier	24	mds38-pos
HanXRQChr01	9213884	9380805	9297344.5	0.29584138336326593	Outlier	25	mds38-pos
HanXRQChr01	11992717	12247527	12120122	0.24542689522026653	Outlier	29	mds38-pos
HanXRQChr01	12247538	12668199	12457868.5	0.23172671559116273	Outlier	30	mds38-pos
HanXRQChr01	12668209	12830703	12749456	0.2526918473297809	Outlier	31	mds38-pos
HanXRQChr01	12830716	13438433	13134574.5	0.25868604888642127	Outlier	32	mds38-pos
HanXRQChr01	14141072	14394017	14267544.5	0.20507019877412402	Outlier	37	mds38-pos
HanXRQChr03	34406675	34697685	34552180	-0.11649855349729148	Outlier	828	mds37-neg
HanXRQChr03	38522066	39226794	38874430	-0.13633038118386825	Outlier	838	mds37-neg
HanXRQChr03	39226796	39320876	39273836	-0.13853451342828907	Outlier	839	mds37-neg
HanXRQChr03	49189425	49826302	49507863.5	-0.11664623688306512	Outlier	860	mds37-neg
HanXRQChr10	112473409	113248522	112860965.5	-0.10354243977992446	Outlier	3581	mds36-neg
HanXRQChr10	125339810	125953913	125646861.5	-0.10988973204646946	Outlier	3603	mds36-neg
HanXRQChr10	128341389	130493756	129417572.5	-0.15014895024819366	Outlier	3605	mds36-neg
HanXRQChr10	137901328	139229531	138565429.5	-0.11601488884052838	Outlier	3617	mds36-neg
HanXRQChr10	152401749	153246103	152823926	-0.14304184787498514	Outlier	3639	mds36-neg
HanXRQChr10	160967687	161983434	161475560.5	-0.12239158447463203	Outlier	3649	mds36-neg
HanXRQChr07	56647573	57307681	56977627	0.1996896215678762	Outlier	2330	mds36-pos
HanXRQChr07	57702204	58929504	58315854	0.13281849974041982	Outlier	2332	mds36-pos
HanXRQChr07	58930011	59190006	59060008.5	0.21787967824796003	Outlier	2333	mds36-pos
HanXRQChr07	59190009	59635486	59412747.5	0.2550486999917136	Outlier	2334	mds36-pos
HanXRQChr07	59635489	59705224	59670356.5	0.2136331883836971	Outlier	2335	mds36-pos
HanXRQChr07	59705762	60030156	59867959	0.187137172640181	Outlier	2336	mds36-pos
HanXRQChr07	60030158	60272508	60151333	0.10932446584643368	Outlier	2337	mds36-pos
HanXRQChr07	61117936	62036672	61577304	0.25928351465179594	Outlier	2339	mds36-pos
HanXRQChr07	62036677	62464964	62250820.5	0.2719345342631683	Outlier	2340	mds36-pos
HanXRQChr07	62464981	62917716	62691348.5	0.16064799998812998	Outlier	2341	mds36-pos
HanXRQChr07	63168326	63372227	63270276.5	0.19689781340277437	Outlier	2343	mds36-pos
HanXRQChr07	63372231	63524106	63448168.5	0.2396686807825053	Outlier	2344	mds36-pos
HanXRQChr07	64649510	65009416	64829463	0.21506014631586673	Outlier	2347	mds36-pos
HanXRQChr07	65009944	65181817	65095880.5	0.1816113705332995	Outlier	2348	mds36-pos
HanXRQChr05	9768101	9816634	9792367.5	-0.1430720116954826	Outlier	1583	mds35-neg
HanXRQChr05	9816647	10104689	9960668	-0.1289716932448197	Outlier	1584	mds35-neg
HanXRQChr05	10104720	10246153	10175436.5	-0.12814013030310056	Outlier	1585	mds35-neg
HanXRQChr05	10246164	10367328	10306746	-0.1681608233152002	Outlier	1586	mds35-neg
HanXRQChr05	10367454	10799084	10583269	-0.1419405938910675	Outlier	1587	mds35-neg
HanXRQChr05	10915379	11197644	11056511.5	-0.13544026807093731	Outlier	1589	mds35-neg
HanXRQChr05	14278550	14647532	14463041	-0.13128180455421384	Outlier	1595	mds35-neg
HanXRQChr05	19489848	19699939	19594893.5	-0.10926343153604597	Outlier	1605	mds35-neg
HanXRQChr05	23525152	23658200	23591676	-0.10747762699510378	Outlier	1615	mds35-neg
HanXRQChr05	25708324	25916703	25812513.5	-0.10551102281806221	Outlier	1619	mds35-neg
HanXRQChr05	27128229	27436712	27282470.5	-0.1280754952829317	Outlier	1621	mds35-neg
HanXRQChr05	32670192	33524364	33097278	-0.1321473850174695	Outlier	1630	mds35-neg
HanXRQChr05	33524387	33854890	33689638.5	-0.13335910973833234	Outlier	1631	mds35-neg
HanXRQChr05	34691998	35885030	35288514	-0.12089470015479559	Outlier	1634	mds35-neg
HanXRQChr05	83688864	84599012	84143938	-0.12276492857423914	Outlier	1690	mds35-neg
HanXRQChr05	97518365	99670355	98594360	-0.1202917335197098	Outlier	1705	mds35-neg
HanXRQChr05	136243533	136629839	136436686	-0.1338743994875791	Outlier	1764	mds35-neg
HanXRQChr09	88341352	90123100	89232226	-0.16782289936092518	Outlier	2997	mds31-neg
HanXRQChr09	90123110	90609252	90366181	-0.147382308744214	Outlier	2998	mds31-neg
HanXRQChr09	96363810	97345832	96854821	-0.13787721078366458	Outlier	3010	mds31-neg
HanXRQChr09	97345865	101173626	99259745.5	-0.11307411311555504	Outlier	3011	mds31-neg
HanXRQChr09	101173742	101647633	101410687.5	-0.13254641631428887	Outlier	3012	mds31-neg
HanXRQChr09	101647663	101900466	101774064.5	-0.15677713022721063	Outlier	3013	mds31-neg
HanXRQChr09	102415400	103243628	102829514	-0.1450950089182375	Outlier	3015	mds31-neg
